,organization_name,repo_full_name,contributors_num,is_fork,active_15,active_16,active_17,active_18,active_19,active_20,active_21,active_22,use_CI,ci_num
109,Intel Corporation,Arduino,64,True,False,False,False,False,False,False,False,False,False,
110,Oracle,glibc,262,False,False,False,False,False,True,False,False,False,False,
111,Intel Corporation,light-model-transformer,7,False,False,False,False,True,True,True,True,True,False,
112,NVIDIA Corporation,Milano,2,False,False,False,False,True,False,False,False,False,False,0.0
113,Google,crumsort-rs,1,False,False,False,False,False,False,False,False,True,True,
114,Bytedance Inc.,magic-microservices,6,False,False,False,False,False,False,True,True,False,True,1.0
115,Google,certificate-transparency-java,9,False,True,True,True,True,True,True,False,False,True,
116,Salesforce,ci-brakeman,1,False,False,False,False,False,False,False,True,True,False,
117,International Business Machines,spring-web-app,10,False,False,False,False,False,True,True,False,False,True,
118,Google,macops-MOLFCMClient,2,False,False,True,True,True,False,False,False,False,False,
119,Pivotal,docs-credhub-service-broker,26,False,False,False,False,True,True,True,True,True,False,
120,International Business Machines,analyze-batch-job-z,1,False,False,False,False,False,True,False,False,False,False,
121,Salesforce,sfgh-community-wellness-center,2,False,False,False,False,True,True,True,True,True,False,
122,International Business Machines,ibm-satellite-storage,26,False,False,False,False,False,False,False,True,True,False,
123,Yahoo,SparkADMM,2,False,False,True,False,False,False,False,False,False,False,0.0
124,Groupon,DotCi,19,False,False,True,True,True,False,False,False,False,True,
125,Twitter,cache-trace,1,False,False,False,False,False,False,True,False,False,False,0.0
126,eBay,SVNetworking,1,False,False,False,False,False,False,False,False,False,False,0.0
127,Qiniu Cloud,android-sdk,28,False,False,False,False,False,False,False,True,True,True,3.0
128,PayPal,seazme-sources,2,False,False,False,True,True,True,False,False,False,False,0.0
129,Hewlett Packard Enterprise,fwget,0,False,False,False,False,False,False,True,False,False,False,0.0
130,International Business Machines,model-reprogramming,2,False,False,False,False,False,False,False,False,True,False,
131,Google,creatine-ads-inspector,2,False,False,False,False,False,False,True,True,False,False,
132,JetBrains,kotlin-js-demo-1.3.50,1,True,False,False,False,False,True,False,False,False,False,
133,GitHub,scientist,52,False,False,False,False,True,True,True,True,True,True,
134,JetBrains,email-parser,3,False,False,True,True,True,True,False,False,False,False,
135,International Business Machines,carbon-ui-builder-featured-fragments,2,False,False,False,False,False,False,False,False,True,False,
136,FacePlusPlus,facepp-ruby-sdk,1,False,False,False,False,False,False,False,False,False,False,0.0
137,Intel Corporation,corelibs-edison,8,False,True,True,True,True,True,True,True,True,False,
138,Hewlett Packard Enterprise,hpe-solutions-openstack,1,False,False,False,False,False,True,False,False,False,False,0.0
139,International Business Machines,commands-runner-ui,1,False,False,False,False,False,True,False,False,False,True,
140,bilibili,android-ndk-profiler,2,True,True,False,False,False,False,False,False,False,True,
141,Intel Corporation,driving-data-collection-reference-kit,1,False,False,False,False,True,True,True,True,False,False,
142,Twitter,AnomalyDetection,8,False,True,False,False,False,False,False,False,False,True,1.0
143,easemob,apollo,20,True,False,False,False,True,False,False,False,False,True,
144,Salesforce,apollo,5,False,False,False,False,False,True,True,True,True,True,
145,Juniper Networks,cvelist,240,True,False,False,False,False,False,False,False,True,False,
146,JetBrains,cvelist,245,True,False,False,False,False,False,False,False,True,False,
147,Google,cvelist,247,True,False,False,False,False,False,False,False,True,False,
148,GitHub,cvelist,243,True,False,False,False,False,False,False,False,True,False,
149,International Business Machines,github-crawler,3,False,False,False,False,False,False,False,True,True,False,
150,Cisco Systems,node-kms,2,False,True,True,True,True,True,True,True,False,False,0.0
151,Baidu,NoahV,19,False,False,False,False,False,False,False,True,True,True,1.0
152,Salesforce,CoMatch,2,False,False,False,False,False,False,False,True,False,False,
153,NetEase,pomelo-dotnetchat-console,1,False,False,False,False,False,False,False,False,False,False,0.0
154,Zynga Inc.,rl-bakery,6,False,False,False,False,False,False,True,True,False,False,
155,Google,secrets-gradle-plugin,5,False,False,False,False,False,False,False,True,True,True,
156,Google,java-monitoring-client-library,5,False,False,False,True,True,True,True,True,False,True,
157,International Business Machines,cornell-big-red-hacks,4,False,False,False,False,False,True,True,True,True,False,
158,Airbnb,prometheus,367,True,False,False,False,False,False,False,False,True,True,
159,Amazon,fire-app-builder,6,False,False,True,True,True,True,True,True,False,False,
160,Square,js-jose,20,False,False,False,True,True,True,True,False,False,True,
161,Mirantis Inc.,openstack-horizon,80,True,False,False,False,False,False,False,False,False,False,
162,Amazon,amazon-s3-gst-plugin,6,False,False,False,False,False,True,True,True,True,True,
163,International Business Machines,telco-integrator,7,False,False,False,False,False,False,True,True,True,False,
164,Google,qkeras,19,False,False,False,False,False,False,False,True,True,True,
165,Google,promises,34,False,False,False,False,True,True,True,True,True,True,
166,Alibaba,clusterdata,14,False,False,False,True,True,True,True,True,True,False,0.0
167,International Business Machines,multi-tenancy-backend,4,False,False,False,False,False,False,False,False,True,False,
168,eBay,storybook-addon-themepicker,1,False,False,False,False,False,True,False,False,False,False,0.0
169,Google,o3dtoydefense,0,False,False,False,False,False,False,False,False,False,False,
170,JetBrains,dl-this,2,False,False,False,False,False,False,True,False,False,True,
171,Alibaba,xquic,18,False,False,False,False,False,False,False,True,True,True,2.0
172,Intel Corporation,webapps-sweetspot,5,False,True,True,False,False,False,False,False,False,False,
173,Juniper Networks,contrail-windows-tools,6,False,False,False,False,True,True,False,False,False,False,
174,Hewlett Packard Enterprise,oneview-golang,26,False,False,False,False,False,False,False,True,True,True,5.0
175,Uber Open Source,logtron,19,False,True,True,True,True,False,False,False,False,True,1.0
176,Anjuke Inc.,pyaps,1,False,False,False,False,False,False,False,False,False,False,0.0
177,Oracle,nb-javac,4,False,False,False,False,False,False,True,True,False,True,
178,Intel Corporation,uintr-compiler-guide,1,False,False,False,False,False,False,False,True,False,False,
179,Citrix,sample-scripts,3,False,False,False,False,False,True,True,True,False,False,0.0
180,International Business Machines,ibm-cloud-functions-conversational-scenarios,4,False,False,False,True,True,True,True,True,True,False,
181,GitHub,ruby-thecodeshop,40,False,True,False,False,False,False,False,False,False,True,
182,Intel Corporation,dmr,1,False,False,False,False,False,False,True,True,True,False,
183,Airbnb,css,18,False,True,True,True,True,True,True,True,True,False,0.0
184,GitHub,mime-types,6,True,True,True,False,False,False,False,False,False,False,
185,Airbnb,twitter-commons-sample,1,False,False,False,False,False,False,False,False,False,False,0.0
186,International Business Machines,perf-sidecar-injector,3,False,False,False,False,True,True,True,True,False,False,
187,Apple,coremltools,111,False,False,False,False,False,False,False,True,True,True,
188,LinkedIn,norbert,21,True,True,True,True,True,True,False,False,False,False,
189,DiDi,maskdetection,1,False,False,False,False,False,False,True,False,False,False,0.0
190,International Business Machines,workshop-python-datascience-2021,6,False,False,False,False,False,False,False,True,False,True,
191,Google,appengine-jenkins,4,False,True,True,False,False,False,False,False,False,False,
192,Alibaba,ApsaraCache,226,False,False,False,True,True,True,True,False,False,False,0.0
193,Apple,ml-tree-dst,1,False,False,False,False,False,False,True,False,False,False,
194,Intel Corporation,arduino101_openocd,154,False,True,True,False,False,False,False,False,False,False,
195,"Netflix, Inc.",lemur,113,False,False,False,False,False,False,False,False,True,True,
196,International Business Machines,zos_go_operator,2,False,False,False,False,False,False,False,False,True,False,
197,eleme,mobilists,8,False,False,True,True,True,False,False,False,False,False,0.0
198,Oracle,atg-build-tools,3,False,True,True,True,True,True,True,True,False,False,
199,"Okta, Inc",samples-php,6,False,False,False,False,True,True,True,True,True,True,1.0
200,Qiniu Cloud,objc-sdk,19,False,False,False,False,False,False,False,True,True,True,3.0
201,Google,conferenceDB,1,False,False,True,False,False,False,False,False,False,False,
202,International Business Machines,api-aware-cloud-migration,1,False,False,False,False,False,False,False,False,True,False,
203,Pivotal,demos,1,True,True,True,True,True,True,True,True,False,False,
204,Intel Corporation,compute-benchmarks,15,False,False,False,False,False,False,False,False,True,True,
205,Alibaba,containerd,163,True,False,False,False,False,True,False,False,False,True,
206,"Ctrip, Inc.",hermes.js,1,False,True,False,False,False,False,False,False,False,False,0.0
207,Citrix,terraform-provider-citrixsdx,1,False,False,False,False,False,False,False,False,True,False,0.0
208,NVIDIA Corporation,torch-distro,35,True,False,True,False,False,False,False,False,False,True,
209,International Business Machines,nodejs-cloudant,13,False,False,False,False,False,False,False,False,True,True,
210,Salesforce,carbonj,12,False,False,False,False,False,False,False,False,True,True,
211,Bytedance Inc.,mega-ai,1,False,False,False,False,False,False,True,True,True,False,0.0
212,International Business Machines,helm-stop,1,False,False,False,False,True,False,False,False,False,False,
213,Citrix,citrite-extension,1,True,True,False,False,False,False,False,False,False,False,
214,GitHub,sonic-pi-challenge,18,False,False,False,False,False,False,True,True,False,False,
215,Juniper Networks,hellowhale,1,True,False,False,True,False,False,False,False,False,False,
216,Google,functional-objc,2,False,False,False,False,True,False,False,False,False,True,
217,Instagram,sensu-cli,6,True,False,False,False,False,False,False,False,False,False,
218,International Business Machines,powerai-vision-model-validation,7,False,False,False,False,False,True,True,False,False,True,
219,International Business Machines,MAX-Inception-ResNet-v2,12,False,False,False,False,True,True,True,True,False,True,
220,Salesforce,zfs_defrag,3,False,False,False,True,True,True,True,True,True,False,
221,International Business Machines,newrelic-cli,9,False,False,False,False,True,True,True,True,False,True,
222,Docker,binfmt,4,False,False,False,False,False,True,True,False,False,True,1.0
223,Airbnb,storm-mesos,1,True,False,False,False,False,False,False,False,False,False,
224,Groupon,storm-mesos,14,True,True,False,False,False,False,False,False,False,True,
225,NVIDIA Corporation,ngc-container-environment-modules,2,False,False,False,False,False,False,True,True,False,False,0.0
226,Google,moveit,2,False,False,False,False,False,False,False,True,True,True,
227,Google,acme,10,False,True,True,True,False,False,False,False,False,False,
228,Medium,service-level-operator,3,True,False,False,False,True,True,True,False,False,True,
229,LinkedIn,lambda-learner,3,False,False,False,False,False,False,True,True,False,True,
230,"Nutanix, Inc.",validated-designs,2,False,False,False,False,False,False,False,True,True,False,0.0
231,Intel Corporation,vc-intrinsics,32,False,False,False,False,False,False,False,True,True,True,
232,International Business Machines,cvscan,4,False,False,False,False,False,False,True,True,True,True,
233,International Business Machines,osslm-docker-adaptor,4,False,False,False,True,True,False,False,False,False,False,
234,Intel Corporation,oneContainer-Templates,1,False,False,False,False,False,False,False,True,False,False,
235,Baidu,go-lib,8,False,False,False,False,False,True,True,True,False,False,10.0
236,Baidu,go-lib,8,False,False,False,False,False,True,True,True,False,False,10.0
237,"Wuhan deepin Technology Co.,Ltd.",go-lib,23,False,False,False,False,False,False,True,True,True,True,10.0
238,"Wuhan deepin Technology Co.,Ltd.",go-lib,23,False,False,False,False,False,False,True,True,True,True,10.0
239,Google,beacon-platform,8,False,True,True,True,False,False,False,False,False,False,
240,"Qunar, Inc.",nanachi,5,True,False,False,False,False,True,True,False,False,False,
241,Baidu,du1906_esp,3,False,False,False,False,False,False,False,True,True,False,0.0
242,Google,dqm,2,False,False,False,False,False,False,True,False,False,False,
243,Google,appengine-codiad,1,False,True,True,False,False,False,False,False,False,False,
244,"Wuhan deepin Technology Co.,Ltd.",fcitx-qt5,1,False,False,False,False,False,False,True,True,False,False,0.0
245,Alibaba,javascript-native-interface,1,False,False,False,True,False,False,False,False,False,False,0.0
246,International Business Machines,MAX-Image-Caption-Generator,10,False,False,False,False,True,True,True,True,False,True,
247,Square,subzero,15,False,False,False,False,False,False,False,False,True,True,
248,Google,testrunner-rosemary,1,False,False,False,True,False,False,False,False,False,False,
249,Intel Corporation,rni-profile-base-ubuntu,4,False,False,False,False,False,False,True,True,True,False,
250,eBay,ebayui-core-react,9,False,False,False,False,False,False,False,False,True,True,29.0
251,Google,hiba,4,False,False,False,False,False,False,True,True,True,False,
252,Google,splice,3,False,False,False,False,False,True,True,True,True,True,
253,Google,crx2app,1,False,False,False,False,False,False,False,False,False,False,
254,LinkedIn,dexmaker,36,False,False,False,False,True,True,True,True,True,True,
255,International Business Machines,cloudant-java-sdk,10,False,False,False,False,False,False,False,False,True,True,
256,Citrix,citrix.github.io,3,False,False,True,True,True,True,True,True,False,False,0.0
